TYTUL1;Lokalizacja;TYTUL2;CATEGORIA
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
Przelew z rachunku; DO£ADOWANIE TELEFONU +48 784482729 T-MOBILE IDENTYFIKATOR OPERACJI;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; ROSSMANN 16;CHEMIA I KIOSKI
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; ANEMAR;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; FRESHMARKET Z8138 K.2;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; FRESHMARKET Z8138 K.2;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; SGB;BANKOMAT
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PHU TOMAR        48348;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Przelew na rachunek; MICHA£ NENCKA;;WYNAGRODZENIA I UZNANIA
Zwrot p³atnoœci kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; CCC;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SKYCASH  MOBIPARKING;INNE
Wyp³ata z bankomatu; Kraj; PLDN4292;BANKOMAT
P³atnoœæ kart¹; Kraj; Starbucks 13;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PEPCO 110166 PIASECZNO;ODZIEZ I OBUWIE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
Wyp³ata w bankomacie - kod mobilny; Kraj; ul. Krasickiego 62 A;BANKOMAT
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AMREST SP. Z O.O. 02;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; ROSSMANN 16;CHEMIA I KIOSKI
P³atnoœæ kart¹; Kraj; Starbucks 13;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SKLEP WIELOBRANZOWY;Zakupy Spozywcze
Przelew na rachunek; DATA4YOU BARBARA KWIATKOWSKA;;WYNAGRODZENIA I UZNANIA
Przelew z rachunku; ORANGE;;OP£ATY RÓ¯NE
Przelew na rachunek; KWIATKOWSKI MARCIN;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; AUTOSTRADY - SKYCASH;PALIWO
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Wyp³ata w bankomacie - kod mobilny; Kraj; UL. MORSKA 12;BANKOMAT
Wyp³ata w bankomacie - kod mobilny; Kraj; UL. MORSKA 12;BANKOMAT
Polecenie Zap³aty; T-MOBILE POLSKA S.A. MARYNARSKA 12;;INNE
Przelew na rachunek; KLAUDIA TAMARA KWIATKOWSKA;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; FIRMA GASTRONOMICZNA HA;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; MEDIGO           79943;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj;" DELIKATESY ""OLA""";Zakupy Spozywcze
Wyp³ata w bankomacie - kod mobilny; Kraj; UL. MORSKA 12;BANKOMAT
Przelew z rachunku; ABAX BIURO KSIÊGOWE BO¯ENA BARTUZI;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; BK GDANSK AK;INNE
P³atnoœæ kart¹; Kraj; SKYCASH POLAND S.A.;INNE
P³atnoœæ kart¹; Kraj; PARKOMETR 344 AS;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; SKLEP SPOZYWCZY TADEUSZ;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; FIRMA HANDLOWA ALINA 02;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; Kawiarnia PALCE LIZAC;BARY RESTAURACJE OUTDOOR
Przelew na rachunek; PAWE£ GRZEGORZ KWIATKOWSKI;;WYNAGRODZENIA I UZNANIA
Przelew z rachunku; PLUM SZKO£A P£YWANIA;;OP£ATY RÓ¯NE
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; MEDIGO           79943;INNE
P³atnoœæ kart¹; Kraj; KWIACIARNIA      40214;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CENTRUM SPORTOWO-KONFE;INNE
Polecenie Zap³aty; PGNIG OBRÓT DETALICZNY SPÓ£KA Z OGR ANICZON¥ ODPOWIEDZIALNOŒCI¥;;INNE
P³atnoœæ kart¹; Kraj; SPRZEDAZ ART. SPO. WARZ;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj;" DELIKATESY ""OLA""";Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SKLEP PRZEMYSLOWY MING;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; POLOMARKET 5019;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
P³atnoœæ kart¹; Kraj; FHU BARBARA BARBARA;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Zlecenie sta³e; WSPÓLNOTA MAGNOLIA 1FUNDUSZREMONTOWY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; WSPÓLNOTA MIESZKANIOWA MAGNOLII 1;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Sp³ata kredytu;;;SP£ATA KREDYTU
Sp³ata kredytu;;;SP£ATA KREDYTU
Wyp³ata w bankomacie - kod mobilny; Kraj; UL. MORSKA 12;BANKOMAT
Polecenie Zap³aty; PGE OBRÓT SA O/WARSZAWA;;INNE
P³atnoœæ kart¹; Kraj; SPRZEDAZ ART. SPO. WARZ;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj;" DELIKATESY ""OLA""";Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Polecenie Zap³aty; ORANGE POLSKA SPOLKA AKCYJNA UL. AL. JEROZOLIMSKIE 160;;INNE
P³atnoœæ kart¹; Kraj; AUTOSTRADY - SKYCASH;PALIWO
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; DOZ APTEKA DBAM O ZDRO;APTEKA
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; ORLEN 05;PALIWO
P³atnoœæ kart¹; Kraj; McDonalds 429 MOP Parma;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PEPCO 110166 PIASECZNO;ODZIEZ I OBUWIE
Zlecenie sta³e; OKRÊGOWA IZBA LEKARSKA W WARSZAWIE;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Op³ata;;;INNE
P³atnoœæ kart¹; Kraj; ALDI SP. Z O.O. 122;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DECATHLON Piaseczno;ODZIEZ I OBUWIE
Zlecenie sta³e; POCZTA POLSKA S.A. COF DZIA£ ABONAMENTU;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PALLOTYÑSKI SEKRETARIAT MISYJNY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Naliczenie odsetek;;;INNE
Obci¹¿enie;;;INNE
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; BP-OTLOCZYN 310;PALIWO
P³atnoœæ kart¹; Kraj; GTC SA AUTOSTRADA A1;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SHELL;PALIWO
P³atnoœæ kart¹; Kraj; LESZNOWOLA KTR;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CDA PL;INNE
Przelew z rachunku; PZU SA;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; McDonalds 03;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; BAR BARAKUDA;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; DECATHLON Piaseczno;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; GTC SA AUTOSTRADA A1;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; BP-KUJAWY 216;PALIWO
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Przelew z rachunku; PAWE£ GRZEGORZ KWIATKOWSKI;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; McDonalds 178 Rumia 1 G;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj;" Sklep ""JOLA""";Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; DOZ APTEKA DBAM O ZDRO;APTEKA
Przelew na rachunek; DXC TECHNOLOGY POLSKA SP. Z O.O. SZTURMOWA 2A;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Smakland;BARY RESTAURACJE OUTDOOR
Przelew z rachunku; MB MOTORS MERCEDES BENZ;;OP£ATY RÓ¯NE
Przelew na rachunek; LINK 4 TOWARZYSTWO UBEZPIECZEÑ S.A. UL. POSTÊPU 15;;WYNAGRODZENIA I UZNANIA
Wyp³ata z bankomatu; Kraj; SGB;BANKOMAT
Wyp³ata z bankomatu; Kraj; SGB;BANKOMAT
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
Przelew na rachunek; PAWE£ GRZEGORZ KWIATKOWSKI;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ kart¹; Kraj; DECATHLON Piaseczno;ODZIEZ I OBUWIE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; AMREST SP. Z O.O. 02;BARY RESTAURACJE OUTDOOR
Przelew z rachunku; SZKO£A NOWA IWICZNA;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; GREEN COFFEE SP Z O O;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CAFE BABEL SP. Z O.O.;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Andrzej Wolowski;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; Andrzej Wolowski;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; PLDN4292;BANKOMAT
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Wyp³ata w bankomacie - kod mobilny; Kraj; PULAWSKA 46;BANKOMAT
P³atnoœæ kart¹; Kraj; MCDONALDS 049 W-WA 11 P;BARY RESTAURACJE OUTDOOR
Przelew z rachunku; DOBRY MEBEL DAGMATA MUCHA;;OP£ATY RÓ¯NE
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Leroy Merlin Piaseczno;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; PLDN4291;BANKOMAT
P³atnoœæ kart¹; Kraj; DOZ APTEKA DBAM O ZDRO;APTEKA
P³atnoœæ kart¹; Kraj; SPOZYWNIACZEK;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; KRAMIG;INNE
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SUPER-PHARM STARA IWICZ;INNE
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Przelew z rachunku; DO£ADOWANIE TELEFONU +48 784482729 T-MOBILE IDENTYFIKATOR OPERACJI;;OP£ATY RÓ¯NE
Przelew na rachunek; LINK 4 TOWARZYSTWO UBEZPIECZEÑ S.A. UL. POSTÊPU 15;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj;" Sklep ""JOLA""";Zakupy Spozywcze
Wyp³ata w bankomacie - kod mobilny; Kraj; ul. Krasickiego 62 A;BANKOMAT
P³atnoœæ kart¹; Kraj; AMREST SP. Z O.O. 02;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; PHU TOMAR        48348;INNE
P³atnoœæ kart¹; Kraj; GTC SA AUTOSTRADA A1;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; Stacja Benzynowa;PALIWO
P³atnoœæ kart¹; Kraj; FHU BARBARA BARBARA;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; Sklep Artykulow P81985;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; BS KROKOWA;BANKOMAT
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; PL KFC OLSZE SOUTH;BARY RESTAURACJE OUTDOOR
Przelew z rachunku; ORANGE;;OP£ATY RÓ¯NE
Przelew na rachunek; PAWE£ GRZEGORZ KWIATKOWSKI;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; FHU BARBARA BARBARA;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; JUSTYNA MUTTKE;INNE
P³atnoœæ kart¹; Kraj; Stacja Benzynowa;PALIWO
Polecenie Zap³aty; T-MOBILE POLSKA S.A. MARYNARSKA 12;;INNE
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DELIKATESY OLA;Zakupy Spozywcze
Zwrot p³atnoœci kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; GABI SNACK;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; ORLEN 02;PALIWO
P³atnoœæ kart¹; Kraj; LOTOS SF814 K.4;PALIWO
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; GTC SA AUTOSTRADA A1;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; DETTLAFF;INNE
P³atnoœæ kart¹; Kraj; DELTA KROKOWA SP. Z O.;DOM I ELEKTRONIKA
P³atnoœæ kart¹; Kraj; UBER TRIP HELP.UBER.CO;INNE
Wyp³ata z bankomatu; Kraj; PLN20301;BANKOMAT
Przelew z rachunku; PAWE£ GRZEGORZ KWIATKOWSKI;;OP£ATY RÓ¯NE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
Polecenie Zap³aty; PGE OBRÓT SA O/WARSZAWA;;INNE
P³atnoœæ kart¹; Kraj; McDonalds 03;BARY RESTAURACJE OUTDOOR
Przelew na rachunek; PAWE£ GRZEGORZ KWIATKOWSKI;;WYNAGRODZENIA I UZNANIA
Zlecenie sta³e; WSPÓLNOTA MAGNOLIA 1FUNDUSZREMONTOWY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; WSPÓLNOTA MIESZKANIOWA MAGNOLII 1;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; AUTOSTRADY - SKYCASH;PALIWO
P³atnoœæ kart¹; Kraj; SHELL;PALIWO
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; WARSZTAT;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PEPCO 110166 PIASECZNO;ODZIEZ I OBUWIE
Sp³ata kredytu;;;SP£ATA KREDYTU
Sp³ata kredytu;;;SP£ATA KREDYTU
P³atnoœæ kart¹; Kraj; SMYK SPOLKA AKCYJNA;ODZIEZ I OBUWIE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; JMP S.A. BIEDRONKA 290;Zakupy Spozywcze
Przelew na rachunek; GMINNY OŒRODEK POMOCY SPO£ECZNEJ;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
Polecenie Zap³aty; ORANGE POLSKA SPOLKA AKCYJNA UL. AL. JEROZOLIMSKIE 160;;INNE
Przelew na rachunek; PAWE£ GRZEGORZ KWIATKOWSKI;;WYNAGRODZENIA I UZNANIA
Przelew z rachunku; MB MOTORS SP. Z O.O.;;OP£ATY RÓ¯NE
Zlecenie sta³e; OKRÊGOWA IZBA LEKARSKA W WARSZAWIE;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Przelew z rachunku; PAWE£ KWIATKOWSKI;;OP£ATY RÓ¯NE
Zlecenie sta³e; AMER ANGLO;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Wyp³ata w bankomacie - kod mobilny; Kraj; ul. Krasickiego 62 A;BANKOMAT
P³atnoœæ web - kod mobilny; Adres;;ZAKUPY INTERNET
Przelew na rachunek; PAWE£ GRZEGORZ KWIATKOWSKI;;WYNAGRODZENIA I UZNANIA
Zlecenie sta³e; POCZTA POLSKA S.A. COF DZIA£ ABONAMENTU;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PAWE£ KWIATKOWSKI;;ZLECENIA STA£E I SP£ATY KREDYTÓW
Zlecenie sta³e; PALLOTYÑSKI SEKRETARIAT MISYJNY;;ZLECENIA STA£E I SP£ATY KREDYTÓW
P³atnoœæ kart¹; Kraj; ORLEN 01;PALIWO
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; CITROEN POLSKA O/PULAW;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; WARSZTAT;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; BILETY SKYCASH;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; BILETY SKYCASH;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; CDA PL;INNE
P³atnoœæ kart¹; Kraj; BILETY SKYCASH;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; BILETY SKYCASH;SAMOCHODY I KOMUNIKACJA
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
P³atnoœæ kart¹; Kraj; PayU*Allegro;INNE
Naliczenie odsetek;;;INNE
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; SHELL 17;PALIWO
P³atnoœæ kart¹; Kraj; CYGARO Ewa Kafar;Zakupy Spozywcze
Przelew z rachunku; PAWE£ GRZEGORZ KWIATKOWSKI;;OP£ATY RÓ¯NE
Przelew na rachunek; DXC TECHNOLOGY POLSKA SP. Z O.O. SZTURMOWA 2A;;WYNAGRODZENIA I UZNANIA
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
Wyp³ata z bankomatu; Kraj; PLDN4292;BANKOMAT
Wyp³ata z bankomatu; Kraj; PLDN4292;BANKOMAT
P³atnoœæ kart¹; Kraj; LIDL OKULICKIEGO;Zakupy Spozywcze
P³atnoœæ kart¹; Kraj; McDonalds 468 Piaseczno;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; DECATHLON Piaseczno;ODZIEZ I OBUWIE
P³atnoœæ kart¹; Kraj; PIEROGI DOMOWE PAULINA;BARY RESTAURACJE OUTDOOR
P³atnoœæ kart¹; Kraj; APTEKA PATICARIUS 01;APTEKA
P³atnoœæ kart¹; Kraj; AUCHAN POLSKA SP. Z  02;Zakupy Spozywcze
